0172;0172;A. E. D. B. I. M.                                      ;AGRUPACIÓN DE ELECTORES DECIDEIX BONREPÒS I MIRAMBELL                                                                   ;DBB7FF;
0173;0173;AGRUPACION DE ELECTORES DE CIRUELOS DE CERVERA         ;AGRUPACION DE ELECTORES DE CIRUELOS DE CERVERA                                                                          ;FFD9B3;
0174;0174;AGRUPACION DE ELECTORES DE FUENTELVIEJO                ;AGRUPACION DE ELECTORES DE FUENTELVIEJO                                                                                 ;FF9D9D;
0175;0175;AEH                                                    ;AGRUPACION DE ELECTORES DE HONTOBA                                                                                      ;C1FFC1;
0176;0176;AeF                                                    ;AGRUPACION DE ELECTORES DE LA FUEVA                                                                                     ;8686C4;
0177;0177;AEL                                                    ;AGRUPACION DE ELECTORES DE LANGAYO                                                                                      ;ACACD7;
0178;0178;AGRUPACIÓN DE ELECTORES DE LEINTZ-GATZAGA              ;AGRUPACIÓN DE ELECTORES DE LEINTZ-GATZAGA                                                                               ;003080;
0179;0179;AGRUPACION DE ELECTORES DEL MUNICIPIO DE PAJARES DE LOS;AGRUPACION DE ELECTORES DEL MUNICIPIO DE PAJARES DE LOS OTEROS                                                          ;FFCEFF;
0180;0180;AEMI                                                   ;AGRUPACION DE ELECTORES DE MIRONCILLO                                                                                   ;EC799D;
0181;0181;AE MURILLO DE GALLEGO                                  ;AGRUPACIÓN DE ELECTORES DE MURILLO DE GALLEGO                                                                           ;666AFF;
0182;0182;A.E.N.C.                                               ;AGRUPACIÓN DE ELECTORES DE NIEVA DE CAMEROS                                                                             ;004182;
0183;0183;AGRUPACIÓN DE ELECTORES DE OCENILLA, CIDONES, VILLAVERD;AGRUPACIÓN DE ELECTORES DE OCENILLA, CIDONES, VILLAVERDE Y HERREROS                                                     ;326565;
0184;0184;OREAN@S                                                ;AGRUPACIÓN DE ELECTORES DE OREA                                                                                         ;5E005E;
0185;0185;AGRUPACION DE ELECTORES DE PADILLA DE ARRIBA           ;AGRUPACION DE ELECTORES DE PADILLA DE ARRIBA                                                                            ;6900D2;
0186;0186;ADEPART                                                ;AGRUPACION DE ELECTORES DE PARTALOA                                                                                     ;626231;
0187;0187;AEP                                                    ;AGRUPACION DE ELECTORES DE PORRIÑO                                                                                      ;804000;
0188;0188;AGRUPACIÓN DE ELECTORES DE ROJAS                       ;AGRUPACIÓN DE ELECTORES DE ROJAS                                                                                        ;B70000;
0189;0189;SCT                                                    ;AGRUPACION DE ELECTORES DE SANTA CROYA DE TERA                                                                          ;008C00;
0190;0190;A.E.S.P.                                               ;AGRUPACION DE ELECTORES DE SERRANILLOS PLAYA                                                                            ;DFDF00;
0191;0191;AET                                                    ;AGRUPACION DE ELECTORES DE TORREPEROGIL                                                                                 ;A25151;
0192;0192;AETRA                                                  ;AGRUPACION DE ELECTORES DE TRAGACETE                                                                                    ;2BFFFF;
0193;0193;AEV                                                    ;AGRUPACION DE ELECTORES DE VALDEGRUDAS                                                                                  ;38A791;
0194;0194;AGRUPACIÓN DE ELECTORES DE VILLAR DEL RIO              ;AGRUPACIÓN DE ELECTORES DE VILLAR DEL RIO                                                                               ;D0B135;
0195;0195;AEY                                                    ;AGRUPACION DE ELECTORES DE YANGUAS                                                                                      ;ACDA0E;
0196;0196;Écija PUEDE                                            ;AGRUPACIÓN DE ELECTORES ÉCIJA PUEDE                                                                                     ;09DD78;
0197;0197;AGRUPACIÓN DE ELECTORES 'ELGORRIAGA'                   ;AGRUPACIÓN DE ELECTORES 'ELGORRIAGA'                                                                                    ;647B95;
0198;0198;AGRUPACION DE ELECTORES EL VISO SI PUEDE               ;AGRUPACION DE ELECTORES EL VISO SI PUEDE                                                                                ;C4C79E;
0199;0199;AGRUPACION DE ELECTORES EN MOVIMIENTO VALVERDE DE LLERE;AGRUPACION DE ELECTORES EN MOVIMIENTO VALVERDE DE LLERENA                                                               ;006BD7;
0200;5415;Errenteria IrabaziZ                                    ;AGRUPACION DE ELECTORES ERRENTERIA IRABAZIZ                                                                             ;499494;
0201;0201;G.H.E                                                  ;AGRUPACIÓN DE ELECTORES 'GABIRIA'                                                                                       ;8C008C;
0202;0202;GANA LANTEIRA                                          ;AGRUPACIÓN DE ELECTORES GANA LANTEIRA                                                                                   ;8B17FF;
0203;0203;A.d.E.G.A.S                                            ;AGRUPACION DE ELECTORES GANEMOS ALPUJARRA DE LA SIERRA                                                                  ;99994D;
0204;0204;G.J.                                                   ;AGRUPACION DE ELECTORES GANEMOS JEREZ                                                                                   ;FD7E00;
0205;0205;AdE GL                                                 ;AGRUPACION DE ELECTORES GANEMOS LANJARON                                                                                ;FF1515;
0206;0206;AdE GO                                                 ;AGRUPACION DE ELECTORES GANEMOS ORGIVA                                                                                  ;00F300;
0207;0207;GANEMOS SALAMANCA                                      ;AGRUPACION DE ELECTORES GANEMOS SALAMANCA                                                                               ;FFFF62;
0208;0208;A.E.G.T                                                ;AGRUPACION DE ELECTORES GANEMOS TORVIZCON                                                                               ;C08181;
0209;0209;GDZ                                                    ;AGRUPACION DE ELECTORES: GENTE DE ZUJAR                                                                                 ;B7FFFF;
0211;0211;G.I.G.                                                 ;AGRUPACION DE ELECTORES GRUPO INDEPENDIENTE DE GALISTEO                                                                 ;58C7B0;
0212;0212;GIPR                                                   ;AGRUPACIÓN DE ELECTORES 'GRUPO INDEPENDIENTE POR PUEBLA DE LA REINA'                                                    ;DCC569;
0213;0213;G.R.                                                   ;AGRUPACIÓN DE ELECTORES GUANYEM ROCAFORT                                                                                ;D0F453;
0214;0214;A.E.G.                                                 ;AGRUPACIÓN DE ELECTORES GUATIZALEMA                                                                                     ;4EF8A7;
0215;0215;HSI                                                    ;AGRUPACION DE ELECTORES HIGUERA INDEPENDIENTE                                                                           ;8598AD;
0216;0216;HC                                                     ;AGRUPACIÓN DE ELECTORES HUENEJA CAMBIA                                                                                  ;ABC0A5;
0217;0217;ILLESCAS SI PUEDE                                      ;AGRUPACION DE ELECTORES ILLESCAS SI PUEDE                                                                               ;EA7CFA;
0218;0218;A.E.I.C.C.                                             ;AGRUPACIÓN DE ELECTORES INDEPENDIENTE COMUNIDAD CINTORA                                                                 ;96C89D;
0219;0219;AGRUPACION DE ELECTORES INDEPENDIENTE CREMENES         ;AGRUPACION DE ELECTORES INDEPENDIENTE CREMENES                                                                          ;66FFE0;
0220;0220;IA                                                     ;AGRUPACION DE ELECTORES INDEPENDIENTE DE ALGADEFE                                                                       ;A4C1BD;
0221;0221;A.E.I.C.                                               ;AGRUPACION DE ELECTORES INDEPENDIENTE DE CARDIEL                                                                        ;42A0FF;
0222;0222;AGRUPACION DE ELECTORES INDEPENDIENTE DE CIMANES DEL TE;AGRUPACION DE ELECTORES INDEPENDIENTE DE CIMANES DEL TEJAR                                                              ;6DB6B6;
0223;0223;AIC                                                    ;AGRUPACION DE ELECTORES INDEPENDIENTE DE CUADROS                                                                        ;E100E1;
0224;0224;AGRUPACION DE ELECTORES INDEPENDIENTE DE GALINDO Y PERA;AGRUPACION DE ELECTORES INDEPENDIENTE DE GALINDO Y PERAHUY-LA RAD                                                       ;B66CFF;
0225;0225;AEIG                                                   ;AGRUPACIÓN DE ELECTORES INDEPENDIENTE DE GORAFE                                                                         ;5EFF5E;
0226;0226;A.E.I.R.C                                              ;AGRUPACION DE ELECTORES INDEPENDIENTE DE ROBLEDO DE CORPES                                                              ;C5C589;
0227;0227;A.I.R.                                                 ;AGRUPACION DE ELECTORES INDEPENDIENTE DE RUIDERA                                                                        ;FFBE7D;
0228;0228;A.E.I.S.                                               ;AGRUPACION DE ELECTORES INDEPENDIENTE DE SAÚCA                                                                          ;FF5959;
0229;0229;ADEI                                                   ;AGRUPACION DE ELECTORES INDEPENDIENTE DE VALDERRUEDA                                                                    ;5EFF5E;
0231;0231;AGRUPACION DE ELECTORES INDEPENDIENTE RIO ESLA         ;AGRUPACION DE ELECTORES INDEPENDIENTE RIO ESLA                                                                          ;FFFFBB;
0232;0232;AGRUPACION DE ELECTORES INDEPENDIENTES                 ;AGRUPACION DE ELECTORES INDEPENDIENTES                                                                                  ;D5AAAA;
0234;0234;IdeA                                                   ;Agrupación de electores Independientes de Abla                                                                          ;91D9CA;
0235;0235;I.D.A.R.                                               ;AGRUPACION DE ELECTORES INDEPENDIENTES DE ALAGON DEL RIO                                                                ;EADCA6;
0236;0236;AEIAM                                                  ;AGRUPACIÓN DE ELECTORES INDEPENDIENTES DE ALGAR DE MESA                                                                 ;E2F997;
0237;0237;A.E.I.A.                                               ;AGRUPACION DE ELECTORES INDEPENDIENTES DE ALMANSA                                                                       ;9BFBCD;
